,freqs,ampl_over_asd,phi_inj,phi_ppe_map,phi_npe_map,phi_ppe_post_gr,phi_ppe_post_mod,phi_ppe_post,phi_npe_post_gr,phi_npe_post_mod,phi_npe_post
592,66.33869769957774,3.2459883350185324e+21,-18.525898611516215,-4.846467658013053,-15.03773350084545,-12.874987787322112,-4.837105988927997,-17.712093776250107,-11.881802558354783,-6.74353642175731,-18.625338980112094
593,66.55107291609573,3.240864589616569e+21,-18.42324358167128,-4.810457395628815,-14.941661701624247,-12.813531572270202,-4.801165285691556,-17.614696857961757,-11.834528094899026,-6.695413129009788,-18.529941223908814
594,66.76412802586087,3.2357167257474124e+21,-18.321190942273873,-4.774714696981405,-14.846207389852164,-12.752408252902946,-4.76549162935301,-17.517899882255954,-11.787497847442337,-6.647633441401529,-18.435131288843866
595,66.97786520546815,3.230545293320219e+21,-18.219736987794434,-4.739237574016621,-14.751373455486062,-12.691616137863903,-4.73008303569838,-17.42169917356228,-11.740710586067074,-6.600195037276185,-18.34090562334326
596,67.19228663848057,3.2253584723157933e+21,-18.118878036403927,-4.704024053451934,-14.657140632146874,-12.631153544773234,-4.694937535256822,-17.326091080030057,-11.69416508734255,-6.553094821091963,-18.24725990843451
597,67.4073945154517,3.2201415787302643e+21,-18.018610429817077,-4.669072176666687,-14.563512773110412,-12.571018800180369,-4.660053173191048,-17.231071973371417,-11.64786013429062,-6.506330471192515,-18.154190605483134
598,67.62319103394775,3.21490868703984e+21,-17.918930533137054,-4.634379999593206,-14.470486025100863,-12.511210239516872,-4.625428009188638,-17.13663824870551,-11.601794516351285,-6.459900439806944,-18.061694956158227
599,67.83967839857027,3.2096555250022996e+21,-17.819834734700898,-4.5999455926086315,-14.378056534842413,-12.451726207049342,-4.591060117354079,-17.042786324403423,-11.555967029349203,-6.413801244450731,-17.969768273799936
600,68.0568588209785,3.204377517847747e+21,-17.721319445926195,-4.565767040427606,-14.286220449059249,-12.392565055832568,-4.556947586101678,-16.94951264193425,-11.510376475459054,-6.368030563467529,-17.878407038926582
601,68.2747345199121,3.1990853524966846e+21,-17.623381101158632,-4.531842441995743,-14.194972951156604,-12.333725147663257,-4.523088518049212,-16.85681366571247,-11.46502166317239,-6.3225868490864405,-17.78760851225883
602,68.49330772121364,3.1937670449395023e+21,-17.526016157520758,-4.498169910383894,-14.104305371263896,-12.275204853033882,-4.489481029912414,-16.764685882946296,-11.41990140726418,-6.277469714364741,-17.69737112162892
603,68.71258065785163,3.1884312818907124e+21,-17.429221094761576,-4.464747572683159,-14.01422637925171,-12.217002551086132,-4.456123252400188,-16.67312580348632,-11.375014528759142,-6.232671420447943,-17.607685949207085
604,68.93255556994296,3.1830790492821615e+21,-17.33299241510738,-4.431573569900772,-13.924725378611553,-12.159116629565974,-4.423013330110686,-16.58212995967666,-11.330359854898838,-6.188193515106944,-17.518553370005783
605,69.15323470477618,3.177701034033596e+21,-17.237326643113327,-4.398646056856643,-13.83579947938657,-12.10154548477717,-4.390149421428055,-16.491694906205225,-11.285936219108493,-6.144032128914499,-17.429968348022992
606,69.3746203168341,3.172309764413304e+21,-17.142220325516316,-4.365963202080772,-13.747442901663035,-12.044287521536893,-4.357529698420053,-16.401817219956946,-11.241742460964469,-6.1001857140997116,-17.34192817506418
607,69.59671466781704,3.166896377345221e+21,-17.047670031088643,-4.333523187711357,-13.659654682122,-11.987341153130002,-4.325152346736344,-16.312493499866346,-11.197777426161313,-6.05665233594896,-17.254429762110274
608,69.81952002666583,3.161464316870234e+21,-16.953672350492702,-4.30132420939369,-13.572430004168696,-11.930704801264634,-4.293015565507601,-16.223720366772234,-11.154039966479507,-6.013429672805897,-17.167469639285404
609,70.04303866958516,3.15601923026006e+21,-16.86022389613672,-4.269364476179782,-13.485764051208355,-11.874376896027215,-4.261117567245312,-16.135494463272526,-11.110528939753017,-5.970515016071452,-17.08104395582447
610,70.26727288006654,3.1505474879568405e+21,-16.7673213020315,-4.237642210428777,-13.399655859922026,-11.818355875838552,-4.2294565777424005,-16.047812453580953,-11.067243209837176,-5.927906817974728,-16.995150027811903
611,70.492224948912,3.145063595706168e+21,-16.67496122364787,-4.206155647708037,-13.314098687077033,-11.762640187409383,-4.198030835974491,-15.960671023383874,-11.024181646576714,-5.885602369916654,-16.90978401649337
612,70.7178971742571,3.1395611557327877e+21,-16.583140337775575,-4.174903036695049,-13.229091569354424,-11.707228285696473,-4.166838594002007,-15.87406687969848,-10.981343125774023,-5.843600124126332,-16.824943249900354
613,70.9442918615947,3.1340391082652116e+21,-16.491855342382596,-4.143882639079982,-13.14462969015943,-11.652118633859196,-4.135878116872922,-15.787996750732118,-10.93872652915734,-5.801899693661038,-16.740626222818378
614,71.1714113237984,3.128505415804357e+21,-16.40110295647586,-4.113092729469004,-13.06070919621624,-11.597309703215853,-4.105147682526254,-15.702457385742107,-10.896330744349443,-5.760494500494457,-16.6568252448439
615,71.39925788114611,3.1229481544895855e+21,-16.31087991996261,-4.082531595288328,-12.977328160886946,-11.542799973200454,-4.074645581696307,-15.617445554896761,-10.85415466483619,-5.719383770741141,-16.573538435577333
616,71.62783386134396,3.1173777987021675e+21,-16.221182993512752,-4.052197536688933,-12.894481767576783,-11.488587931319815,-4.044370117817573,-15.532958049137388,-10.81219718993532,-5.678567117458364,-16.490764307393682
617,71.85714159954989,3.1117925424667364e+21,-16.132008958422357,-4.022088866452033,-12.812167126328887,-11.43467207311067,-4.014319606930376,-15.448991680041047,-10.770457224765629,-5.6380418320470564,-16.408499056812687
618,72.08718343839753,3.1061866251571235e+21,-16.04335461647775,-3.9922039098952307,-12.730373640634774,-11.381050902097279,-3.9844923775872187,-15.365543279684498,-10.728933680215981,-5.5978048189654235,-16.326738499181403
619,72.31796172802017,3.1005701973876917e+21,-15.95521678982083,-3.962541004779377,-12.649112870321884,-11.327722929748926,-3.9548867707598063,-15.282609700508733,-10.68762547291468,-5.557854917385291,-16.24548039029997
620,72.54947882607478,3.0949337880089885e+21,-15.867592320815046,-3.93309850121609,-12.568372292243822,-11.274686675437836,-3.925501139746766,-15.200187815184602,-10.646531525198823,-5.518190966478486,-16.16472249167731
621,72.78173709776603,3.0892833315105087e+21,-15.780478071912459,-3.9038747615760143,-12.488149016443728,-11.221940666397348,-3.8963338500820637,-15.118274516479412,-10.605650765084137,-5.478809096817765,-16.0844598619019
622,73.01473891587062,3.0836209769042794e+21,-15.693870925521573,-3.874868160397709,-12.408442079602649,-11.169483437680205,-3.867383279444076,-15.03686671712428,-10.564982126234623,-5.439708534517679,-16.004690660752303
623,73.24848666076129,3.077937516401398e+21,-15.60776778387618,-3.84607708429726,-12.329245701806865,-11.117313532116874,-3.8386478175653784,-14.955961349682253,-10.524524547932378,-5.400886957921882,-15.92541150585426
624,73.48298272043135,3.0722445014278697e+21,-15.522165568904992,-3.817499931878517,-12.250557956418469,-11.065429500274714,-3.8101258661431614,-14.875555366417876,-10.484276975047951,-5.362342045374026,-15.846619020421977
625,73.7182294905189,3.0665348119540515e+21,-15.437061222102235,-3.789135113644052,-12.172374990161646,-11.013829900416571,-3.7818158387503362,-14.795645739166908,-10.444238358010422,-5.324074183816838,-15.76831254182726
626,73.95422937433136,3.0608102143937363e+21,-15.352451704399035,-3.760981051906729,-12.094691986441633,-10.962513298459923,-3.7537161607473095,-14.716229459207232,-10.404407652777799,-5.28607756910945,-15.690485221887249
627,74.19098478287012,3.0550766353386014e+21,-15.268333996035748,-3.733036180701953,-12.017509908577379,-10.911478267936642,-3.725825269194375,-14.637303537131018,-10.364783820807604,-5.248351814309139,-15.613135635116743
628,74.42849813485509,3.0493218357742047e+21,-15.184705096435064,-3.7052989457005676,-11.94082105001726,-10.860723389952206,-3.698141612764796,-14.558865002717003,-10.325365829027561,-5.210894597759557,-15.536260426787118
629,74.66677185674935,3.043558197256085e+21,-15.101562024076093,-3.677767804122417,-11.864625410761274,-10.810247253145667,-3.670663651658521,-14.480910904804187,-10.286152649806505,-5.173705919460705,-15.45985856926721
630,74.90580838278409,3.0377811784918384e+21,-15.018901816369183,-3.650441224650505,-11.7889172108957,-10.760048453649521,-3.6433898575165213,-14.403438311166042,-10.247143260925165,-5.13678190998534,-15.383925170910505
631,75.14561015498334,3.0319884202801066e+21,-14.936721529531622,-3.6233176873458546,-11.713695487101589,-10.71012559505008,-3.616318713335807,-14.326444308385888,-10.208336645547561,-5.100120634619838,-15.3084572801674
